,auc,objective,metric,learning_rate,num_leaves,min_child_weight,feature_fraction,bagging_fraction,bagging_freq,max_depth,max_bin,lambda_l1,lambda_l2,min_data_in_bin,min_gain_to_split,min_data_in_leaf,is_unbalance
1,0.901257675,binary,auc,0.05,20,60,0.7,0.7,1,-1,50,0,1.33,30,0.001,30,TRUE
2,0.900991291,binary,auc,0.05,20,60,0.7,0.7,1,-1,50,0,1.33,30,0.1,30,TRUE
3,0.900519356,binary,auc,0.05,20,60,0.7,0.7,1,-1,50,5,1.33,30,0.001,30,TRUE
4,0.900519356,binary,auc,0.05,20,60,0.7,0.7,1,-1,50,5,1.33,30,0.1,30,TRUE
5,0.900345955,binary,auc,0.05,20,60,0.7,0.7,1,-1,50,0,0,30,0.001,30,TRUE
6,0.90015819,binary,auc,0.05,20,60,0.7,0.7,1,-1,50,0,3,30,0.1,30,TRUE
7,0.900018775,binary,auc,0.05,20,60,0.7,0.7,1,-1,50,0,0,30,0.1,30,TRUE
8,0.899955507,binary,auc,0.05,20,60,0.7,0.7,1,-1,50,5,0,30,0.1,30,TRUE
9,0.899945338,binary,auc,0.05,20,60,0.7,0.7,1,-1,50,5,3,30,0.001,30,TRUE
10,0.899945338,binary,auc,0.05,20,60,0.7,0.7,1,-1,50,5,3,30,0.1,30,TRUE
11,0.899933202,binary,auc,0.05,20,60,0.7,0.7,5,-1,50,5,0,30,0.1,30,TRUE
12,0.899931463,binary,auc,0.05,20,60,0.7,0.7,5,-1,50,5,0,30,0.001,30,TRUE
13,0.899921072,binary,auc,0.05,20,60,0.7,0.7,1,-1,50,0,3,30,0.001,30,TRUE
14,0.899897078,binary,auc,0.05,20,60,0.7,0.7,1,-1,50,5,0,30,0.001,30,TRUE
15,0.899659933,binary,auc,0.05,20,60,0.7,0.7,5,-1,50,5,3,30,0.001,30,TRUE
16,0.899617114,binary,auc,0.05,20,60,0.3,0.7,1,-1,50,0,1.33,30,0.1,30,TRUE
17,0.899613538,binary,auc,0.05,20,60,0.3,0.7,1,-1,50,5,3,30,0.1,30,TRUE
18,0.899595355,binary,auc,0.05,20,60,0.7,0.7,5,-1,50,0,0,30,0.1,30,TRUE
19,0.899526753,binary,auc,0.05,20,60,0.7,0.7,5,-1,50,5,3,30,0.1,30,TRUE
20,0.899435562,binary,auc,0.05,20,60,0.3,0.7,1,-1,50,0,1.33,30,0.001,30,TRUE
21,0.899434976,binary,auc,0.05,20,60,0.3,0.7,1,-1,50,5,3,30,0.001,30,TRUE
22,0.899298512,binary,auc,0.05,20,60,0.7,0.7,5,-1,50,5,1.33,30,0.1,30,TRUE
23,0.899278016,binary,auc,0.05,20,60,0.7,0.7,5,-1,50,0,3,30,0.001,30,TRUE
24,0.899274712,binary,auc,0.05,20,60,0.7,0.7,5,-1,50,5,1.33,30,0.001,30,TRUE
25,0.899259973,binary,auc,0.05,20,60,0.3,0.5,5,-1,50,5,3,30,0.1,30,TRUE
26,0.899256371,binary,auc,0.05,20,60,0.7,0.7,5,-1,50,0,3,30,0.1,30,TRUE
27,0.899249603,binary,auc,0.05,20,60,0.7,0.7,5,-1,50,0,1.33,30,0.1,30,TRUE
28,0.899242902,binary,auc,0.05,20,60,0.7,0.7,5,-1,50,0,1.33,30,0.001,30,TRUE
29,0.899233138,binary,auc,0.05,20,1,0.7,0.7,1,-1,50,5,3,30,0.1,30,TRUE
30,0.899225145,binary,auc,0.05,20,60,0.3,0.7,1,-1,50,0,0,30,0.001,30,TRUE
31,0.899171796,binary,auc,0.05,20,60,0.7,0.7,5,-1,50,0,0,30,0.001,30,TRUE
32,0.899070202,binary,auc,0.05,20,60,0.3,0.7,1,-1,50,0,3,30,0.001,30,TRUE
33,0.898892275,binary,auc,0.05,20,1,0.7,0.7,1,-1,50,0,3,30,0.001,30,TRUE
34,0.898891926,binary,auc,0.05,20,60,0.3,0.5,5,-1,50,5,3,30,0.001,30,TRUE
35,0.898853175,binary,auc,0.05,20,1,0.7,0.7,1,-1,50,5,3,30,0.001,30,TRUE
36,0.89875909,binary,auc,0.05,20,60,0.3,0.7,1,-1,50,0,0,30,0.1,30,TRUE
37,0.898752839,binary,auc,0.05,20,60,0.3,0.7,1,-1,50,5,1.33,30,0.1,30,TRUE
38,0.898745815,binary,auc,0.05,20,1,0.7,0.7,1,-1,50,0,3,30,0.1,30,TRUE
39,0.898697216,binary,auc,0.05,20,60,0.3,0.7,1,-1,50,0,3,30,0.1,30,TRUE
40,0.898510604,binary,auc,0.05,20,1,0.7,0.7,1,-1,50,0,1.33,30,0.001,30,TRUE
41,0.898461397,binary,auc,0.05,20,60,0.3,0.7,5,-1,50,0,1.33,30,0.001,30,TRUE
42,0.898456291,binary,auc,0.05,20,60,0.3,0.7,1,-1,50,5,1.33,30,0.001,30,TRUE
43,0.898363881,binary,auc,0.05,20,5,0.7,0.5,1,-1,50,0,1.33,30,0.1,30,TRUE
44,0.898349729,binary,auc,0.05,20,1,0.7,0.7,1,-1,50,5,1.33,30,0.001,30,TRUE
45,0.89834269,binary,auc,0.05,20,60,0.3,0.7,5,-1,50,0,1.33,30,0.1,30,TRUE
46,0.898333387,binary,auc,0.05,20,60,0.3,0.7,1,-1,50,5,0,30,0.1,30,TRUE
47,0.898281861,binary,auc,0.05,20,1,0.7,0.7,1,-1,50,0,1.33,30,0.1,30,TRUE
48,0.898226906,binary,auc,0.05,20,60,0.3,0.7,5,-1,50,5,3,30,0.001,30,TRUE
49,0.898224083,binary,auc,0.05,20,60,0.7,0.5,1,-1,50,5,1.33,30,0.1,30,TRUE
50,0.898168761,binary,auc,0.05,20,1,0.7,0.7,1,-1,50,5,1.33,30,0.1,30,TRUE
51,0.898167958,binary,auc,0.05,20,60,0.3,0.7,1,-1,50,5,0,30,0.001,30,TRUE
52,0.898131006,binary,auc,0.05,20,60,0.3,0.7,5,-1,50,0,0,30,0.1,30,TRUE
53,0.898119159,binary,auc,0.05,20,60,0.3,0.7,5,-1,50,0,0,30,0.001,30,TRUE
54,0.898112701,binary,auc,0.05,20,60,0.3,0.5,5,-1,50,0,3,30,0.1,30,TRUE
55,0.898081689,binary,auc,0.05,20,60,0.3,0.7,5,-1,50,5,1.33,30,0.001,30,TRUE
56,0.898077706,binary,auc,0.05,20,60,0.3,0.5,1,-1,50,0,3,30,0.001,30,TRUE
57,0.898074855,binary,auc,0.05,20,60,0.7,0.5,5,-1,50,5,3,30,0.1,30,TRUE
58,0.898067075,binary,auc,0.05,20,5,0.7,0.7,1,-1,50,5,1.33,30,0.001,30,TRUE
59,0.898064666,binary,auc,0.05,20,60,0.3,0.7,5,-1,50,5,3,30,0.1,30,TRUE
60,0.898056551,binary,auc,0.05,20,60,0.3,0.7,5,-1,50,5,1.33,30,0.1,30,TRUE
61,0.89805522,binary,auc,0.05,20,5,0.7,0.5,1,-1,50,0,1.33,30,0.001,30,TRUE
62,0.897956261,binary,auc,0.05,20,60,0.3,0.5,5,-1,50,0,3,30,0.001,30,TRUE
63,0.897953239,binary,auc,0.05,20,60,0.3,0.5,1,-1,50,0,3,30,0.1,30,TRUE
64,0.897891452,binary,auc,0.05,20,60,0.3,0.7,5,-1,50,5,0,30,0.1,30,TRUE
65,0.897851299,binary,auc,0.05,20,5,0.7,0.5,1,-1,50,5,3,30,0.1,30,TRUE
66,0.897822174,binary,auc,0.05,20,60,0.3,0.7,5,-1,50,5,0,30,0.001,30,TRUE
67,0.8978216,binary,auc,0.05,20,5,0.7,0.7,5,-1,50,0,3,30,0.001,30,TRUE
68,0.897819108,binary,auc,0.05,20,60,0.7,0.5,1,-1,50,0,0,30,0.1,30,TRUE
69,0.897813296,binary,auc,0.05,20,5,0.7,0.5,1,-1,50,5,3,30,0.001,30,TRUE
70,0.897802284,binary,auc,0.05,20,60,0.3,0.7,5,-1,50,0,3,30,0.1,30,TRUE
71,0.897717615,binary,auc,0.05,20,60,0.3,0.7,5,-1,50,0,3,30,0.001,30,TRUE
72,0.897716414,binary,auc,0.05,20,5,0.7,0.7,5,-1,50,5,1.33,30,0.001,30,TRUE
73,0.897715106,binary,auc,0.05,20,5,0.7,0.7,5,-1,50,5,1.33,30,0.1,30,TRUE
74,0.897695438,binary,auc,0.05,20,60,0.7,0.5,5,-1,50,0,3,30,0.1,30,TRUE
75,0.897680616,binary,auc,0.05,20,60,0.7,0.5,5,-1,50,0,3,30,0.001,30,TRUE
76,0.897619668,binary,auc,0.05,20,60,0.7,0.5,5,-1,50,5,1.33,30,0.001,30,TRUE
77,0.89755932,binary,auc,0.05,20,60,0.3,0.5,1,-1,50,5,3,30,0.001,30,TRUE
78,0.897541733,binary,auc,0.05,20,5,0.7,0.7,1,-1,50,5,1.33,30,0.1,30,TRUE
79,0.897463226,binary,auc,0.05,20,60,0.7,0.5,5,-1,50,0,1.33,30,0.1,30,TRUE
80,0.897423463,binary,auc,0.05,20,60,0.7,0.5,1,-1,50,5,3,30,0.001,30,TRUE
81,0.897402059,binary,auc,0.05,20,60,0.7,0.5,1,-1,50,0,1.33,30,0.1,30,TRUE
82,0.897385966,binary,auc,0.05,20,60,0.7,0.5,5,-1,50,5,3,30,0.001,30,TRUE
83,0.897366775,binary,auc,0.05,20,60,0.7,0.5,5,-1,50,5,1.33,30,0.1,30,TRUE
84,0.897356023,binary,auc,0.05,20,5,0.7,0.7,1,-1,50,0,3,30,0.001,30,TRUE
85,0.897323963,binary,auc,0.05,20,1,0.7,0.7,5,-1,50,0,1.33,30,0.001,30,TRUE
86,0.897314854,binary,auc,0.05,20,60,0.7,0.5,5,-1,50,0,1.33,30,0.001,30,TRUE
87,0.897309038,binary,auc,0.05,20,60,0.3,0.5,1,-1,50,5,3,30,0.1,30,TRUE
88,0.897300339,binary,auc,0.05,20,5,0.7,0.7,5,-1,50,0,1.33,30,0.1,30,TRUE
89,0.897298892,binary,auc,0.05,20,60,0.7,0.5,1,-1,50,5,1.33,30,0.001,30,TRUE
90,0.897290638,binary,auc,0.05,20,5,0.7,0.7,5,-1,50,5,3,30,0.001,30,TRUE
91,0.897283768,binary,auc,0.05,20,60,0.7,0.5,5,-1,50,0,0,30,0.001,30,TRUE
92,0.89727996,binary,auc,0.05,20,60,0.7,0.5,5,-1,50,0,0,30,0.1,30,TRUE
93,0.897248917,binary,auc,0.05,20,60,0.7,0.5,1,-1,50,0,0,30,0.001,30,TRUE
94,0.897191301,binary,auc,0.05,20,60,0.3,0.5,1,-1,50,5,0,30,0.001,30,TRUE
95,0.89717078,binary,auc,0.05,20,5,0.7,0.7,5,-1,50,0,1.33,30,0.001,30,TRUE
96,0.89715408,binary,auc,0.05,20,60,0.3,0.5,1,-1,50,5,0,30,0.1,30,TRUE
97,0.897146584,binary,auc,0.05,20,5,0.7,0.7,1,-1,50,0,1.33,30,0.1,30,TRUE
98,0.897114618,binary,auc,0.05,20,1,0.7,0.7,5,-1,50,0,1.33,30,0.1,30,TRUE
99,0.897091995,binary,auc,0.05,20,1,0.7,0.7,5,-1,50,5,1.33,30,0.001,30,TRUE
100,0.897088175,binary,auc,0.05,20,5,0.7,0.7,5,-1,50,0,3,30,0.1,30,TRUE
101,0.897038236,binary,auc,0.05,20,60,0.7,0.5,1,-1,50,5,0,30,0.001,30,TRUE
102,0.897016979,binary,auc,0.05,20,60,0.3,0.5,1,-1,50,5,1.33,30,0.1,30,TRUE
103,0.897008556,binary,auc,0.05,20,5,0.7,0.7,1,-1,50,0,3,30,0.1,30,TRUE
104,0.897001806,binary,auc,0.05,20,60,0.7,0.5,1,-1,50,0,3,30,0.001,30,TRUE
105,0.896949581,binary,auc,0.05,20,60,0.3,0.5,5,-1,50,0,0,30,0.1,30,TRUE
106,0.896939924,binary,auc,0.05,20,5,0.7,0.7,5,-1,50,5,3,30,0.1,30,TRUE
107,0.896929884,binary,auc,0.05,20,60,0.7,0.5,1,-1,50,0,1.33,30,0.001,30,TRUE
108,0.896914916,binary,auc,0.05,20,60,0.7,0.5,1,-1,50,5,0,30,0.1,30,TRUE
109,0.896906642,binary,auc,0.05,20,5,0.7,0.7,1,-1,50,0,1.33,30,0.001,30,TRUE
110,0.896887942,binary,auc,0.05,20,1,0.7,0.7,5,-1,50,5,3,30,0.001,30,TRUE
111,0.896868304,binary,auc,0.05,20,60,0.3,0.5,1,-1,50,0,0,30,0.001,30,TRUE
112,0.896836651,binary,auc,0.05,20,60,0.3,0.5,5,-1,50,5,1.33,30,0.1,30,TRUE
113,0.896822551,binary,auc,0.05,20,1,0.7,0.7,5,-1,50,5,1.33,30,0.1,30,TRUE
114,0.896812915,binary,auc,0.05,20,60,0.3,0.5,5,-1,50,5,1.33,30,0.001,30,TRUE
115,0.896802279,binary,auc,0.05,20,5,0.7,0.5,1,-1,50,0,3,30,0.1,30,TRUE
116,0.896768938,binary,auc,0.05,20,60,0.7,0.5,1,-1,50,5,3,30,0.1,30,TRUE
117,0.896765596,binary,auc,0.05,20,60,0.3,0.5,1,-1,50,0,0,30,0.1,30,TRUE
118,0.896753061,binary,auc,0.05,20,1,0.7,0.5,5,-1,50,5,3,30,0.001,30,TRUE
119,0.896740587,binary,auc,0.05,20,60,0.3,0.5,5,-1,50,0,0,30,0.001,30,TRUE
120,0.896687895,binary,auc,0.05,20,60,0.3,0.5,1,-1,50,5,1.33,30,0.001,30,TRUE
121,0.896652225,binary,auc,0.05,20,1,0.7,0.5,1,-1,50,0,1.33,30,0.001,30,TRUE
122,0.896612554,binary,auc,0.05,20,1,0.7,0.5,1,-1,50,0,1.33,30,0.1,30,TRUE
123,0.896594056,binary,auc,0.05,20,5,0.7,0.7,1,-1,50,5,3,30,0.1,30,TRUE
124,0.896574029,binary,auc,0.05,20,5,0.7,0.5,5,-1,50,0,1.33,30,0.1,30,TRUE
125,0.8965569,binary,auc,0.05,20,5,0.7,0.5,1,-1,50,0,3,30,0.001,30,TRUE
126,0.896555495,binary,auc,0.05,20,1,0.7,0.7,5,-1,50,5,3,30,0.1,30,TRUE
127,0.896512148,binary,auc,0.05,20,1,0.7,0.7,5,-1,50,0,3,30,0.001,30,TRUE
128,0.896491016,binary,auc,0.05,20,5,0.7,0.5,5,-1,50,0,1.33,30,0.001,30,TRUE
129,0.89645989,binary,auc,0.05,20,60,0.3,0.5,1,-1,50,0,1.33,30,0.1,30,TRUE
130,0.896449287,binary,auc,0.05,20,5,0.7,0.7,1,-1,50,5,0,30,0.001,30,TRUE
131,0.896429327,binary,auc,0.05,20,1,0.7,0.7,5,-1,50,5,0,30,0.001,30,TRUE
132,0.896417167,binary,auc,0.05,20,60,0.3,0.5,1,-1,50,0,1.33,30,0.001,30,TRUE
